Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
Stuttgart hbf,"Arnulf-Klett-Platz 2, 70173 Stuttgart",48.7844706,9.1813066,"Arnulf-Klett-Platz 2, 70173 Stuttgart",Exact,Google
Stuttgart DLR,"Pfaffenwaldring 38, 70569 Stuttgart",48.7484741,9.1013067,"Pfaffenwaldring 38, 70569 Stuttgart",Exact,Google
Denn's Biomarkt,"Robert-Koch-Straáe 2, 70563 Stuttgart",48.7293674,9.1094032,"Robert-Koch-Straáe 2, 70563 Stuttgart",Exact,Google
Daimler Museum ,"Wasen, 70372 Stuttgart",48.7965858,9.2180273,"Wasen, 70372 Stuttgart",Exact,Google
Injeera Restaurant,"Wagnerstraáe 30, 70182 Stuttgart",48.7736945,9.1822854,"Wagnerstraáe 30, 70182 Stuttgart",Exact,Google
City Rock,"Fritz-Elsas-Straáe 44, 70174 Stuttgart",48.7767221,9.1693562,"Fritz-Elsas-Straáe 44, 70174 Stuttgart",Exact,Google
